seqnames,start,end,width,strand,gene_id
Transfer.PvP01_00_1.final,53,669,617,+,PVP01_0000010
Transfer.PvP01_00_1.final,2797,3513,717,+,PVP01_0000020
Transfer.PvP01_00_1.final,7307,10065,2759,+,PVP01_0000030
Transfer.PvP01_00_1.final,10224,12567,2344,+,PVP01_0000040
Transfer.PvP01_00_1.final,14215,16428,2214,-,PVP01_0000050
Transfer.PvP01_00_1.final,19750,20668,919,-,PVP01_0000060
Transfer.PvP01_00_1.final,22766,23571,806,-,PVP01_0000070
Transfer.PvP01_00_1.final,25135,26442,1308,+,PVP01_0000080
Transfer.PvP01_00_1.final,30326,31300,975,+,PVP01_0000090
Transfer.PvP01_00_1.final,35293,37532,2240,-,PVP01_0000100
Transfer.PvP01_00_1.final,39887,40931,1045,-,PVP01_0000110
Transfer.PvP01_00_1.final,43389,44436,1048,-,PVP01_0000120
Transfer.PvP01_00_1.final,51962,53190,1229,-,PVP01_0000130
Transfer.PvP01_00_1.final,57969,58929,961,-,PVP01_0000140
Transfer.PvP01_00_1.final,62656,63754,1099,-,PVP01_0000150
Transfer.PvP01_00_1.final,68142,69071,930,-,PVP01_0000160
Transfer.PvP01_00_1.final,73514,74618,1105,-,PVP01_0000170
Transfer.PvP01_00_1.final,79813,81297,1485,-,PVP01_0000180
Transfer.PvP01_00_1.final,85856,87067,1212,+,PVP01_0000190
Transfer.PvP01_00_1.final,90909,92233,1325,-,PVP01_0000200
Transfer.PvP01_00_1.final,96288,97058,771,-,PVP01_0000210
Transfer.PvP01_00_1.final,99892,101122,1231,-,PVP01_0000220
Transfer.PvP01_00_1.final,105795,107040,1246,+,PVP01_0000230
Transfer.PvP01_00_1.final,109274,111206,1933,+,PVP01_0000240
Transfer.PvP01_00_1.final,112995,114102,1108,+,PVP01_0000250
Transfer.PvP01_00_1.final,115469,116297,829,-,PVP01_0000260
Transfer.PvP01_00_1.final,117436,118813,1378,-,PVP01_0000270
Transfer.PvP01_00_1.final,122028,123299,1272,-,PVP01_0000280
Transfer.PvP01_00_1.final,132037,133412,1376,+,PVP01_0000290
Transfer.PvP01_00_1.final,136113,137215,1103,+,PVP01_0000300
Transfer.PvP01_00_1.final,139564,140885,1322,-,PVP01_0000310
Transfer.PvP01_00_1.final,149117,150244,1128,+,PVP01_0000320
Transfer.PvP01_00_1.final,153771,156214,2444,+,PVP01_0000330
Transfer.PvP01_00_1.final,157770,159015,1246,+,PVP01_0000340
Transfer.PvP01_00_1.final,162521,163955,1435,-,PVP01_0000350
Transfer.PvP01_00_1.final,168013,169166,1154,-,PVP01_0000360
Transfer.PvP01_00_1.final,173253,174570,1318,-,PVP01_0000370
Transfer.PvP01_00_1.final,177088,178336,1249,-,PVP01_0000380
Transfer.PvP01_00_1.final,180421,181585,1165,-,PVP01_0000390
Transfer.PvP01_00_1.final,184092,185326,1235,-,PVP01_0000400
Transfer.PvP01_00_1.final,187977,189181,1205,-,PVP01_0000410
Transfer.PvP01_00_1.final,192877,194048,1172,-,PVP01_0000420
Transfer.PvP01_00_1.final,198976,200108,1133,+,PVP01_0000430
Transfer.PvP01_00_1.final,202012,203340,1329,-,PVP01_0000440
Transfer.PvP01_00_1.final,206787,207739,953,-,PVP01_0000450
Transfer.PvP01_00_1.final,210223,211459,1237,-,PVP01_0000460
Transfer.PvP01_00_1.final,214630,215807,1178,-,PVP01_0000470
Transfer.PvP01_00_1.final,221402,222734,1333,+,PVP01_0000480
Transfer.PvP01_00_1.final,224534,225854,1321,-,PVP01_0000490
Transfer.PvP01_00_1.final,229303,230523,1221,-,PVP01_0000500
Transfer.PvP01_00_1.final,233006,234201,1196,-,PVP01_0000510
Transfer.PvP01_00_1.final,237299,238198,900,-,PVP01_0000520
Transfer.PvP01_00_1.final,241129,242106,978,-,PVP01_0000530
Transfer.PvP01_00_1.final,244224,245394,1171,-,PVP01_0000540
Transfer.PvP01_00_1.final,247474,248713,1240,-,PVP01_0000550
Transfer.PvP01_00_1.final,252142,253453,1312,-,PVP01_0000560
Transfer.PvP01_00_1.final,255961,257135,1175,-,PVP01_0000570
Transfer.PvP01_00_1.final,261211,262567,1357,-,PVP01_0000580
Transfer.PvP01_00_1.final,266285,267518,1234,-,PVP01_0000590
Transfer.PvP01_00_1.final,270017,271223,1207,-,PVP01_0000600
Transfer.PvP01_00_1.final,276779,278041,1263,-,PVP01_0000610
Transfer.PvP01_00_1.final,282389,283631,1243,-,PVP01_0000620
Transfer.PvP01_00_1.final,286772,287952,1181,-,PVP01_0000630
Transfer.PvP01_00_1.final,290925,292241,1317,-,PVP01_0000640
Transfer.PvP01_00_1.final,294911,296157,1247,-,PVP01_0000650
Transfer.PvP01_00_1.final,298820,299985,1166,-,PVP01_0000660
Transfer.PvP01_00_1.final,304005,305328,1324,-,PVP01_0000670
Transfer.PvP01_00_1.final,307888,309128,1241,-,PVP01_0000680
Transfer.PvP01_00_1.final,312042,312917,876,-,PVP01_0000690
Transfer.PvP01_00_1.final,315036,316274,1239,-,PVP01_0000700
Transfer.PvP01_00_1.final,319115,320328,1214,-,PVP01_0000710
Transfer.PvP01_00_1.final,323548,324790,1243,-,PVP01_0000720
Transfer.PvP01_00_1.final,327285,328491,1207,-,PVP01_0000730
Transfer.PvP01_00_1.final,335756,337025,1270,-,PVP01_0000740
Transfer.PvP01_00_1.final,341363,342602,1240,-,PVP01_0000750
Transfer.PvP01_00_1.final,345104,346361,1258,-,PVP01_0000760
Transfer.PvP01_00_1.final,349981,351113,1133,+,PVP01_0000770
Transfer.PvP01_00_1.final,351940,352459,520,+,PVP01_0000780
Transfer.PvP01_00_1.final,354258,355568,1311,-,PVP01_0000790
Transfer.PvP01_00_1.final,358994,359642,649,-,PVP01_0000800
Transfer.PvP01_00_1.final,360272,361473,1202,-,PVP01_0000810
Transfer.PvP01_00_1.final,365212,366390,1179,-,PVP01_0000820
Transfer.PvP01_00_1.final,368707,369948,1242,-,PVP01_0000830
Transfer.PvP01_00_1.final,372247,373425,1179,-,PVP01_0000840
Transfer.PvP01_00_1.final,375489,376401,913,-,PVP01_0000850
Transfer.PvP01_00_1.final,383291,384517,1227,-,PVP01_0000860
Transfer.PvP01_00_1.final,386437,387610,1174,-,PVP01_0000870
Transfer.PvP01_00_1.final,390367,391574,1208,-,PVP01_0000880
Transfer.PvP01_00_1.final,393861,395042,1182,-,PVP01_0000890
Transfer.PvP01_00_1.final,396457,397796,1340,-,PVP01_0000900
Transfer.PvP01_00_1.final,399793,401003,1211,-,PVP01_0000910
Transfer.PvP01_00_2.final,3,750,748,+,PVP01_0000920
Transfer.PvP01_00_2.final,4351,5637,1287,+,PVP01_0000930
Transfer.PvP01_00_2.final,9288,10535,1248,+,PVP01_0000940
Transfer.PvP01_00_2.final,13297,14599,1303,+,PVP01_0000950
Transfer.PvP01_00_2.final,15298,16809,1512,-,PVP01_0000960
Transfer.PvP01_00_2.final,20434,21785,1352,-,PVP01_0000970
Transfer.PvP01_00_2.final,28381,31414,3034,+,PVP01_0000980
Transfer.PvP01_00_2.final,33241,34551,1311,-,PVP01_0000990
Transfer.PvP01_00_2.final,37459,38810,1352,-,PVP01_0001000
Transfer.PvP01_00_2.final,41426,42671,1246,-,PVP01_0001010
Transfer.PvP01_00_2.final,45210,46566,1357,-,PVP01_0001020
Transfer.PvP01_00_2.final,52437,53777,1341,+,PVP01_0001030
Transfer.PvP01_00_2.final,56816,58080,1265,+,PVP01_0001040
Transfer.PvP01_00_2.final,62454,63783,1330,+,PVP01_0001050
Transfer.PvP01_00_2.final,66667,67747,1081,+,PVP01_0001060
Transfer.PvP01_00_2.final,69774,71001,1228,+,PVP01_0001070
Transfer.PvP01_00_2.final,74411,75671,1261,+,PVP01_0001080
Transfer.PvP01_00_2.final,77777,79275,1499,-,PVP01_0001090
Transfer.PvP01_00_2.final,85408,86740,1333,-,PVP01_0001100
Transfer.PvP01_00_2.final,90794,92057,1264,-,PVP01_0001110
Transfer.PvP01_00_2.final,94402,95677,1276,-,PVP01_0001120
Transfer.PvP01_00_2.final,99494,100850,1357,-,PVP01_0001130
Transfer.PvP01_00_2.final,103521,104820,1300,-,PVP01_0001140
Transfer.PvP01_00_2.final,107809,109108,1300,-,PVP01_0001150
Transfer.PvP01_00_2.final,111816,113123,1308,-,PVP01_0001160
Transfer.PvP01_00_2.final,115703,116964,1262,-,PVP01_0001170
Transfer.PvP01_00_2.final,120928,122336,1409,-,PVP01_0001180
Transfer.PvP01_00_2.final,127867,129283,1417,-,PVP01_0001190
Transfer.PvP01_00_2.final,131821,133139,1319,-,PVP01_0001200
Transfer.PvP01_00_2.final,137172,138423,1252,-,PVP01_0001210
Transfer.PvP01_00_2.final,142198,143521,1324,-,PVP01_0001220
Transfer.PvP01_00_2.final,146614,147948,1335,-,PVP01_0001230
Transfer.PvP01_00_2.final,151157,152451,1295,-,PVP01_0001240
Transfer.PvP01_00_2.final,155553,156908,1356,-,PVP01_0001250
Transfer.PvP01_00_2.final,159612,160773,1162,-,PVP01_0001260
Transfer.PvP01_00_2.final,163116,164379,1264,-,PVP01_0001270
Transfer.PvP01_00_2.final,167090,168361,1272,-,PVP01_0001280
Transfer.PvP01_00_2.final,171943,173400,1458,-,PVP01_0001290
Transfer.PvP01_00_2.final,175511,176641,1131,-,PVP01_0001300
Transfer.PvP01_00_2.final,178765,180117,1353,-,PVP01_0001310
Transfer.PvP01_00_2.final,183700,184963,1264,-,PVP01_0001320
Transfer.PvP01_00_2.final,190236,191395,1160,-,PVP01_0001330
Transfer.PvP01_00_2.final,197251,197623,373,-,PVP01_0001340
Transfer.PvP01_00_2.final,205780,207091,1312,+,PVP01_0001350
Transfer.PvP01_00_2.final,210856,212128,1273,-,PVP01_0001360
Transfer.PvP01_00_2.final,214553,215906,1354,-,PVP01_0001370
Transfer.PvP01_00_2.final,219922,221266,1345,-,PVP01_0001380
Transfer.PvP01_00_2.final,224884,226144,1261,-,PVP01_0001390
Transfer.PvP01_00_2.final,233870,235297,1428,+,PVP01_0001400
Transfer.PvP01_00_2.final,239004,240039,1036,+,PVP01_0001410
Transfer.PvP01_00_2.final,245036,246305,1270,+,PVP01_0001420
Transfer.PvP01_00_2.final,249607,250725,1119,-,PVP01_0001430
Transfer.PvP01_00_2.final,263634,265826,2193,+,PVP01_0001440
Transfer.PvP01_00_2.final,271117,272686,1570,-,PVP01_0001450
Transfer.PvP01_00_2.final,276221,277414,1194,-,PVP01_0001460
Transfer.PvP01_00_2.final,281425,282684,1260,-,PVP01_0001470
Transfer.PvP01_00_2.final,284125,285791,1667,-,PVP01_0001480
Transfer.PvP01_00_2.final,287798,289916,2119,-,PVP01_0001490
Transfer.PvP01_00_2.final,294099,295787,1689,+,PVP01_0001500
Transfer.PvP01_00_2.final,298977,299956,980,+,PVP01_0001510
Transfer.PvP01_00_2.final,302579,303533,955,+,PVP01_0001520
Transfer.PvP01_00_2.final,306459,307590,1132,+,PVP01_0001530
Transfer.PvP01_00_2.final,310136,311107,972,+,PVP01_0001540
Transfer.PvP01_00_2.final,314448,315605,1158,-,PVP01_0001550
Transfer.PvP01_00_2.final,319399,320611,1213,-,PVP01_0001560
Transfer.PvP01_00_2.final,324334,325762,1429,-,PVP01_0001570
Transfer.PvP01_00_2.final,328239,329065,827,-,PVP01_0001580
Transfer.PvP01_00_3.final,4464,5785,1322,-,PVP01_0001590
Transfer.PvP01_00_3.final,7696,9222,1527,+,PVP01_0001600
Transfer.PvP01_00_3.final,12478,13401,924,+,PVP01_0001610
Transfer.PvP01_00_3.final,17085,18093,1009,-,PVP01_0001620
Transfer.PvP01_00_3.final,20148,21452,1305,-,PVP01_0001630
Transfer.PvP01_00_3.final,28152,29296,1145,+,PVP01_0001640
Transfer.PvP01_00_3.final,33118,34418,1301,+,PVP01_0001650
Transfer.PvP01_00_3.final,36449,38046,1598,+,PVP01_0001660
Transfer.PvP01_00_3.final,42581,43921,1341,+,PVP01_0001670
Transfer.PvP01_00_3.final,47303,48533,1231,+,PVP01_0001680
Transfer.PvP01_00_3.final,55064,56132,1069,+,PVP01_0001690
Transfer.PvP01_00_3.final,59912,61183,1272,+,PVP01_0001700
Transfer.PvP01_00_3.final,64214,65359,1146,+,PVP01_0001710
Transfer.PvP01_00_3.final,66852,67866,1015,-,PVP01_0001720
Transfer.PvP01_00_3.final,71785,72747,963,-,PVP01_0001730
Transfer.PvP01_00_3.final,76439,77415,977,-,PVP01_0001740
Transfer.PvP01_00_3.final,79864,80843,980,-,PVP01_0001750
Transfer.PvP01_00_3.final,84008,85004,997,-,PVP01_0001760
Transfer.PvP01_00_3.final,88491,89455,965,-,PVP01_0001770
Transfer.PvP01_00_3.final,93028,93815,788,-,PVP01_0001780
Transfer.PvP01_00_3.final,97796,98967,1172,-,PVP01_0001790
Transfer.PvP01_00_3.final,101656,103196,1541,+,PVP01_0001800
Transfer.PvP01_00_3.final,106146,107714,1569,+,PVP01_0001810
Transfer.PvP01_00_3.final,112598,113988,1391,+,PVP01_0001820
Transfer.PvP01_00_3.final,118067,119270,1204,+,PVP01_0001830
Transfer.PvP01_00_3.final,122739,123985,1247,+,PVP01_0001840
Transfer.PvP01_00_3.final,127661,128938,1278,+,PVP01_0001850
Transfer.PvP01_00_3.final,131160,132325,1166,+,PVP01_0001860
Transfer.PvP01_00_3.final,134162,135142,981,-,PVP01_0001870
Transfer.PvP01_00_3.final,137624,138498,875,-,PVP01_0001880
Transfer.PvP01_00_3.final,141681,142665,985,-,PVP01_0001890
Transfer.PvP01_00_3.final,145924,147451,1528,-,PVP01_0001900
Transfer.PvP01_00_3.final,149120,150810,1691,+,PVP01_0001910
Transfer.PvP01_00_3.final,153689,154631,943,+,PVP01_0001920
Transfer.PvP01_00_3.final,158348,159502,1155,+,PVP01_0001930
Transfer.PvP01_00_3.final,162631,163998,1368,+,PVP01_0001940
Transfer.PvP01_00_3.final,166473,167818,1346,+,PVP01_0001950
Transfer.PvP01_00_3.final,170494,171902,1409,+,PVP01_0001960
Transfer.PvP01_00_3.final,174431,175699,1269,+,PVP01_0001970
Transfer.PvP01_00_3.final,178158,179539,1382,+,PVP01_0001980
Transfer.PvP01_00_3.final,182736,184908,2173,+,PVP01_0001990
Transfer.PvP01_00_3.final,188047,189607,1561,+,PVP01_0002000
Transfer.PvP01_00_3.final,193994,195336,1343,+,PVP01_0002010
Transfer.PvP01_00_3.final,198707,199925,1219,+,PVP01_0002020
Transfer.PvP01_00_3.final,205131,206279,1149,+,PVP01_0002030
Transfer.PvP01_00_3.final,208900,210234,1335,+,PVP01_0002040
Transfer.PvP01_00_4.final,4365,7370,3006,-,PVP01_0002050
Transfer.PvP01_00_4.final,13244,14333,1090,+,PVP01_0002060
Transfer.PvP01_00_4.final,16856,17807,952,+,PVP01_0002070
Transfer.PvP01_00_4.final,21075,22048,974,+,PVP01_0002080
Transfer.PvP01_00_4.final,26776,28639,1864,+,PVP01_0002090
Transfer.PvP01_00_4.final,29698,31171,1474,-,PVP01_0002100
Transfer.PvP01_00_4.final,35396,36629,1234,-,PVP01_0002110
Transfer.PvP01_00_4.final,39731,41073,1343,-,PVP01_0002120
Transfer.PvP01_00_4.final,44290,45894,1605,-,PVP01_0002130
